"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"alberto santos dumont","http://www.wikidata.org/entity/Q313211","Person",NULL,"award","award received","award","http://www.wikidata.org/entity/Q66744316","Award","The minimum average speed to be reached, therefore, was 22 km/h.The award encouraged Alberto Santos Dumont to attempt faster flights with the N-4."
"john de","http://www.wikidata.org/entity/Q262841","Person",NULL,"medal","award received","medals","http://www.wikidata.org/entity/Q38593919","Award","He was the recipient of medals of honour from Queen Wilhelmina of the Netherlands in 1938, Pope Pius XII on the occasion of the canonisation of St. John de Brito in 1947, President Ramon Grau of Cuba in 1949, and from President Eurico Gaspar Dutra of Brazil in 1950."
"galyna mykhailiuk","http://www.wikidata.org/entity/Q66809997","Person",NULL,"award","award received","president","http://www.wikidata.org/entity/Q4376769","Award","On 23 August 2021, President of Ukraine Volodymyr Zelensky signed Decree No. 406/2021, according to which Galyna Mykhailiuk was awarded the honorary title Honoured Lawyer of Ukraine."
"galileo","http://www.wikidata.org/entity/Q307","Person",NULL,"award","award received","award","http://www.wikidata.org/entity/Q66744316","Award","He received the Management Improvement Award for the Mariner Venus Mercury mission in 1974, the American Institute of Aeronautics and Astronautics' Space Systems Award in 1979, and the National Aerospace Club's Astronautics Engineer Award in 1981 for the Galileo project."
"catherine wright donnelly","http://www.wikidata.org/entity/Q29790802","Person",NULL,"win","award received","james beard award","http://www.wikidata.org/entity/Q6129536","Award","Catherine Wright Donnelly (born 1956) is Professor of Nutrition and Food Science at the University of Vermont, and the Editor-in-Chief of ""The Oxford Companion to Cheese"", which won the 2017 James Beard Award for Reference and Scholarship."
"roger","http://www.wikidata.org/entity/Q277766","Person",NULL,"honour","award received","honours degree","http://www.wikidata.org/entity/Q10862985","Award","In 1960 Roger graduated from the University of Birmingham with an honours degree in physics."
"the doctor","http://www.wikidata.org/entity/Q34358","Person",NULL,"award","award received","d.sc.","http://www.wikidata.org/entity/Q2248352","Award","In this, he personally submitted a thesis describing his principal contributions to defence technologies and was awarded the Doctor of Science (D.Sc.)"
"djerassi","http://www.wikidata.org/entity/Q78608","Person",NULL,"win","award received","nobel prize","http://www.wikidata.org/entity/Q7191","Award","Djerassi won numerous awards during his career including:An award that eluded Djerassi was the Nobel Prize, where he is considered one of the more notable ""snubs"" by the Nobel Committee."
"tahmasib hossein ajdarov","http://www.wikidata.org/entity/Q64607858","Person",NULL,"award","award received","doctor","http://www.wikidata.org/entity/Q96633923","Award","Tahmasib Hossein Ajdarov was awarded with the degree of Doctor of Economics under the Decree Dated 2002 of the Supreme Attestation Commission of Ukraine."
"mary verghese","http://www.wikidata.org/entity/Q6780883","Person",NULL,"award","award received","president","http://www.wikidata.org/entity/Q4376769","Award","In recognition of her contributions to medicine, in particular, to the field of physical rehabilitation in India, Mary Verghese was awarded the Padma Shri by the then President of India, Shri."
