"ent_str","ent_id","ent_type","count"
"standard","http://www.wikidata.org/entity/Q399495","Language",115
"baker","http://www.wikidata.org/entity/Q160131","Profession",115
"queen","http://www.wikidata.org/entity/Q1760438","Language",114
"languages","http://www.wikidata.org/entity/Q36848","Language",114
"queen","http://www.wikidata.org/entity/Q7270829","Language",114
"languages","http://www.wikidata.org/entity/Q11252539","Language",114
"languages","http://www.wikidata.org/entity/Q3181238","Language",114
"investigator","http://www.wikidata.org/entity/Q1971388","Profession",113
"investigator","http://www.wikidata.org/entity/Q30093123","Profession",113
"investigator","http://www.wikidata.org/entity/Q1650915","Profession",113
"israel","http://www.wikidata.org/entity/Q801","Country",113
"atomic","http://www.wikidata.org/entity/Q652","Language",112
"lawrence","http://www.wikidata.org/entity/Q1809286","Language",112
"royal society","http://www.wikidata.org/entity/Q123885","Academia of Science",110
"massachusetts","http://www.wikidata.org/entity/Q56519","Language",110
"avicenna","http://www.wikidata.org/entity/Q8011","Person",110
"actor","http://www.wikidata.org/entity/Q10798782","Profession",109
"actor","http://www.wikidata.org/entity/Q33999","Profession",109
"governor","http://www.wikidata.org/entity/Q132050","Profession",108
"atoms","http://www.wikidata.org/entity/Q1607053","Person",108
"atoms","http://www.wikidata.org/entity/Q5685120","Person",108
"atoms","http://www.wikidata.org/entity/Q4817193","Person",108
"cases","http://www.wikidata.org/entity/Q1047060","Language",107
"baker","http://www.wikidata.org/entity/Q4849228","Language",106
"georgia","http://www.wikidata.org/entity/Q230","Country",105
"fellow of the royal society","http://www.wikidata.org/entity/Q15631401","Award",105
"peace","http://www.wikidata.org/entity/Q8016704","Language",104
"spain","http://www.wikidata.org/entity/Q29","Country",104
"chemist","http://www.wikidata.org/entity/Q593644","Profession",104
"scholars","http://www.wikidata.org/entity/Q2248623","Profession",103
"national academy of sciences","http://www.wikidata.org/entity/Q270794","Academia of Science",102
"specialist","http://www.wikidata.org/entity/Q1391344","Profession",102
"specialist","http://www.wikidata.org/entity/Q2376292","Award",102
"doctors","http://www.wikidata.org/entity/Q96633923","Award",101
"northern","http://www.wikidata.org/entity/Q1683585","Language",101
"greek","http://www.wikidata.org/entity/Q41","Country",101
"greek","http://www.wikidata.org/entity/Q9129","Language",101
