"ent_str","ent_id","ent_type","count"
"Abulafia","Abulafia","PERSON",31
"Arctic","Arctic","LOC",31
"Raimi","Raimi","PERSON",31
"Nature","Nature","WORK_OF_ART",31
"Frankenstein","Frankenstein","PERSON",31
"Ghostbusters","Ghostbusters","ORG",30
"Dumont","Dumont","PERSON",30
"New York University","New York University","ORG",30
"Caltech","Caltech","ORG",30
"Singapore","Singapore","GPE",30
"Society","Society","ORG",30
"X-Men","X-Men","ORG",30
"Atlanta","Atlanta","GPE",30
"Knight","Knight","PERSON",30
"New Year Honours","New Year Honours","EVENT",30
"Peale","Peale","PERSON",30
"Reisman","Reisman","PERSON",30
"Aristotle","Aristotle","PERSON",30
"1960s","1960s","DATE",30
"Republican","Republican","NORP",30
"Hong Kong","Hong Kong","GPE",30
"Hoernle","Hoernle","PERSON",30
"Stan Lee","Stan Lee","PERSON",30
"Copenhagen","Copenhagen","GPE",30
"Tom Baker","Tom Baker","PERSON",30
"Braddock","Braddock","PERSON",29
"Ontario","Ontario","GPE",29
"Venus","Venus","LOC",29
"Veronica","Veronica","PERSON",29
"UNESCO","UNESCO","ORG",29
"Serruys","Serruys","PERSON",29
"African-American","African-American","NORP",29
"Chile","Chile","GPE",29
"Berkeley","Berkeley","GPE",29
"Cortex","Cortex","ORG",29
"Spider-Man's","Spider-Man's","PERSON",29
"Jersey","Jersey","GPE",29
"Brown University","Brown University","ORG",29
"Osborn","Osborn","PERSON",29
"Electrical Engineering","Electrical Engineering","ORG",29
"weekly","weekly","DATE",29
"Jenkins","Jenkins","PERSON",29
"Scott","Scott","PERSON",29
"Louisiana","Louisiana","GPE",28
"Delaware","Delaware","GPE",28
"Takahashi","Takahashi","PERSON",28
"Louis","Louis","PERSON",28
"the Middle East","the Middle East","LOC",28
"Finnish","Finnish","NORP",28
"Columbia","Columbia","GPE",28
"Somerville","Somerville","PERSON",28
"Islam","Islam","ORG",28
"Munich","Munich","GPE",28
"Farber","Farber","PERSON",28
"Dorothy","Dorothy","PERSON",28
"Cohen","Cohen","PERSON",28
"the 20th century","the 20th century","DATE",28
"Austin","Austin","GPE",28
"Byrne","Byrne","PERSON",28
"Stockholm","Stockholm","GPE",28
"Whittaker","Whittaker","PERSON",28
"Psimon","Psimon","PERSON",27
"Foote","Foote","PERSON",27
"the National Academy of Engineering","the National Academy of Engineering","ORG",27
"Lisbon","Lisbon","GPE",27
"the California Institute of Technology","the California Institute of Technology","ORG",27
"David","David","PERSON",27
"Darkman","Darkman","PERSON",27
"Marshall","Marshall","PERSON",27
"Hamburg","Hamburg","GPE",27
"Mary Jane","Mary Jane","PERSON",27
"Avengers","Avengers","PRODUCT",27
"the University of Manchester","the University of Manchester","ORG",27
"daily","daily","DATE",27
"Gastev","Gastev","PERSON",27
"the American Physical Society","the American Physical Society","ORG",27
"the Time Lords","the Time Lords","ORG",27
"the World Health Organization","the World Health Organization","ORG",27
"Albert Einstein","Albert Einstein","PERSON",27
"Bible","Bible","WORK_OF_ART",27
"Missouri","Missouri","GPE",27
"the Russian Federation","the Russian Federation","ORG",27
"Asian","Asian","NORP",27
"Kitov","Kitov","PERSON",27
"Man-Bat","Man-Bat","PERSON",27
"the University of Melbourne","the University of Melbourne","ORG",27
"Trinity College","Trinity College","ORG",27
"Gomez","Gomez","PERSON",27
"Javier","Javier","PERSON",27
"Galileo","Galileo","PRODUCT",27
"four years","four years","DATE",27
"Mello","Mello","PERSON",27
"the University of Minnesota","the University of Minnesota","ORG",27
"Constantine","Constantine","PERSON",27
"Emma Frost","Emma Frost","PERSON",27
"James","James","PERSON",26
"Obama","Obama","PERSON",26
"Helsinki","Helsinki","GPE",26
"Jameson","Jameson","PERSON",26
"Northwestern University","Northwestern University","ORG",26
"Norman Osborn","Norman Osborn","PERSON",26
"Wales","Wales","GPE",26
"Leibel","Leibel","PERSON",26
